4 Jan 1999 - 27 July 2018,EUR/USD,GBP/USD,AUD/USD,USD/CAD,USD/CHF,SP500,DGS10
4/27/00,0.9083,1.5748,0.5875,1.4792,1.731,1464.920044,6.23
4/28/00,0.9089,1.556,0.5837,1.4818,1.725,1452.430054,6.23
5/1/00,0.912,1.5558,0.58,1.4783,1.7135,1468.25,6.29
5/2/00,0.9068,1.559,0.5857,1.4857,1.7185,1446.290039,6.32
5/3/00,0.8891,1.5605,0.59,1.4923,1.7369,1415.099976,6.4
5/4/00,0.8907,1.5435,0.5914,1.498,1.7353,1409.569946,6.46
5/5/00,0.8953,1.5288,0.5935,1.498,1.7323,1432.630005,6.51
5/8/00,0.895,1.531,0.587,1.4927,1.7305,1424.170044,6.57
5/9/00,0.9023,1.5315,0.5828,1.4945,1.7219,1412.140015,6.53
5/10/00,0.9097,1.5153,0.5815,1.4955,1.715,1383.050049,6.47
